ESTADO,Deputado,Partido,Voto
RORAIMA,Abel Mesquita Jr.,PDT,Não
RORAIMA,Carlos Andrade,PHS,Não
RORAIMA,Edio Lopes,PMDB,Não
RORAIMA,Hiran Gonçalves,PMN,Não
RORAIMA,Jhonatan de Jesus,PRB,Não
RORAIMA,Maria Helena,PSB,Sim
RORAIMA,Remídio Monai,PR,Não
AMAPÁ,André Abdon,PRB,Não
AMAPÁ,Jozi Araújo,PTB,Não
AMAPÁ,Marcos Reategui,PSC,Não
AMAPÁ,Professora Marcivania,PT,Sim
AMAPÁ,Roberto Góes,PDT,Sim
AMAPÁ,Vinicius Gurgel,PR,Não
PARÁ,Arnaldo Jordy,PPS,Sim
PARÁ,Beto Faro,PT,Sim
PARÁ,Beto Salame,PROS,Sim
PARÁ,Delegado Éder Mauro,PSD,Não
PARÁ,Edmilson Rodrigues,PSOL,Sim
PARÁ,Elcione Barbalho,PMDB,Sim
PARÁ,Francisco Chapadinha,PSD,Não
PARÁ,Hélio Leite,DEM,Não
PARÁ,Joaquim Passarinho,PSD,Não
PARÁ,José Priante,PMDB,Não
PARÁ,Josué Bengtson,PTB,Não
PARÁ,Júlia Marinho,PSC,Não
PARÁ,Lúcio Vale,PR,Não
PARÁ,Nilson Pinto,PSDB,Não
PARÁ,Simone Morgado,PMDB,Sim
PARÁ,Zé Geraldo,PT,Sim
AMAZONAS,Alfredo Nascimento,PR,Não
AMAZONAS,Arthur Virgílio Bisneto,PSDB,Não
AMAZONAS,Átila Lins,PSD,Não
AMAZONAS,Conceição Sampaio,PP,Sim
AMAZONAS,Hissa Abrahão,PPS,Sim
AMAZONAS,Marcos Rotta,PMDB,Não
AMAZONAS,Pauderney Avelino,DEM,Não
AMAZONAS,Silas Câmara,PSD,Não
RONDONIA,Expedito Netto,Solidaried,Não
RONDONIA,Lindomar Garçon,PMDB,Não
RONDONIA,Lucio Mosquini,PMDB,Não
RONDONIA,Luiz Cláudio,PR,Não
RONDONIA,Marcos Rogério,PDT,Sim
RONDONIA,Mariana Carvalho,PSDB,Não
RONDONIA,Marinha Raupp,PMDB,Não
RONDONIA,Nilton Capixaba,PTB,Não
