ESTADO,Deputado,Partido,Voto
RORAIMA,Carlos Andrade,PHS,Sim
RORAIMA,Edio Lopes,PMDB,Sim
RORAIMA,Hiran Gonçalves,PMN,Sim
RORAIMA,Jhonatan de Jesus,PRB,Sim
RORAIMA,Remídio Monai,PR,Sim
RORAIMA,Shéridan,PSDB,Sim
AMAPÁ,André Abdon,PRB,Sim
AMAPÁ,Cabuçu Borges,PMDB,Sim
AMAPÁ,Jozi Rocha,PTB,Sim
AMAPÁ,Marcos Reategui,PSC,Sim
AMAPÁ,Professora Marcivania,PT,Não
AMAPÁ,Vinicius Gurgel,PR,Sim
PARÁ,Arnaldo Jordy,PPS,Não
PARÁ,Beto Faro,PT,Não
PARÁ,Beto Salame,PROS,Não
PARÁ,Delegado Éder Mauro,PSD,Sim
PARÁ,Edmilson Rodrigues,PSOL,Não
PARÁ,Francisco Chapadinha,PSD,Sim
PARÁ,Hélio Leite,DEM,Sim
PARÁ,Joaquim Passarinho,PSD,Sim
PARÁ,José Priante,PMDB,Sim
PARÁ,Josué Bengtson,PTB,Sim
PARÁ,Júlia Marinho,PSC,Sim
PARÁ,Lúcio Vale,PR,Sim
PARÁ,Nilson Pinto,PSDB,Sim
PARÁ,Simone Morgado,PMDB,Não
PARÁ,Wladimir Costa,Solidaried,Sim
PARÁ,Zé Geraldo,PT,Não
AMAZONAS,Alfredo Nascimento,PR,Sim
AMAZONAS,Arthur Virgílio Bisneto,PSDB,Sim
AMAZONAS,Átila Lins,PSD,Sim
AMAZONAS,Conceição Sampaio,PP,Sim
AMAZONAS,Hissa Abrahão,PPS,Não
AMAZONAS,Marcos Rotta,PMDB,Sim
AMAZONAS,Pauderney Avelino,DEM,Sim
AMAZONAS,Silas Câmara,PSD,Sim
RONDONIA,Expedito Netto,Solidaried,Sim
RONDONIA,Lindomar Garçon,PMDB,Sim
RONDONIA,Lucio Mosquini,PMDB,Sim
RONDONIA,Luiz Cláudio,PR,Sim
RONDONIA,Marcos Rogério,PDT,Sim
RONDONIA,Mariana Carvalho,PSDB,Sim
RONDONIA,Marinha Raupp,PMDB,Não
RONDONIA,Nilton Capixaba,PTB,Sim
ACRE,Alan Rick,PRB,Sim
ACRE,Angelim,PT,Não
ACRE,Jéssica Sales,PMDB,Sim
ACRE,Leo de Brito,PT,Não
ACRE,Rocha,PSDB,Sim
ACRE,Sibá Machado,PT,Não
TOCANTINS,Carlos Henrique Gaguim,PMDB,Sim
TOCANTINS,César Halum,PRB,Sim
TOCANTINS,Dulce Miranda,PMDB,Sim
TOCANTINS,Irajá Abreu,PSD,Sim
TOCANTINS,Josi Nunes,PMDB,Não
TOCANTINS,Lázaro Botelho,PP,Sim
TOCANTINS,Professora Dorinha Seabra Rezende,DEM,Não
TOCANTINS,Vicentinho Júnior,PSB,Sim
MARANHÃO,Alberto Filho,PMDB,Sim
MARANHÃO,Aluisio Mendes,PSDC,Sim
MARANHÃO,André Fufuca,PEN,Sim
MARANHÃO,Cleber Verde,PRB,Sim
MARANHÃO,Eliziane Gama,PPS,Não
MARANHÃO,Hildo Rocha,PMDB,Sim
MARANHÃO,João Marcelo Souza,PMDB,Não
MARANHÃO,Junior Marreca,PEN,Sim
MARANHÃO,Juscelino Filho,PRP,Sim
MARANHÃO,Pedro Fernandes,PTB,Não
MARANHÃO,Rubens Pereira Júnior,PCdoB,Não
MARANHÃO,Sarney Filho,PV,Não
MARANHÃO,Victor Mendes,PV,Sim
MARANHÃO,Waldir Maranhão,PP,Sim
MARANHÃO,Weverton Rocha,PDT,Não
MARANHÃO,Zé Carlos,PT,Não
CEARÁ,Adail Carneiro,PHS,Sim
CEARÁ,André Figueiredo,PDT,Não
CEARÁ,Arnon Bezerra,PTB,Não
CEARÁ,Cabo Sabino,PR,Sim
CEARÁ,Chico Lopes,PCdoB,Não
CEARÁ,Danilo Forte,PMDB,Sim
CEARÁ,Domingos Neto,PROS,Não
CEARÁ,Genecias Noronha,Solidaried,Sim
CEARÁ,Gorete Pereira,PR,Sim
CEARÁ,José Airton Cirilo,PT,Não
CEARÁ,José Guimarães,PT,Não
CEARÁ,Leônidas Cristino,PROS,Não
CEARÁ,Luizianne Lins,PT,Não
CEARÁ,Macedo,PSL,Sim
