ESTADO,Deputado,Partido,Voto
RORAIMA,Abel Mesquita Jr.,DEM,Sim
RORAIMA,Carlos Andrade,PHS,Sim
RORAIMA,Edio Lopes,PR,Sim
RORAIMA,Hiran Gonçalves,PP,Sim
RORAIMA,Jhonatan de Jesus,PRB,Sim
RORAIMA,Remídio Monai,PR,Sim
RORAIMA,Shéridan,PSDB,Sim
RIO GRANDE DO SUL,Afonso Hamm,PP,Sim
RIO GRANDE DO SUL,Afonso Motta,PDT,Não
RIO GRANDE DO SUL,Alceu Moreira,PMDB,Sim
RIO GRANDE DO SUL,Bohn Gass,PT,Não
RIO GRANDE DO SUL,Cajar Nardes,PR,Sim
RIO GRANDE DO SUL,Carlos Gomes,PRB,Sim
RIO GRANDE DO SUL,Covatti Filho,PP,Sim
RIO GRANDE DO SUL,Danrlei de Deus Hinterholz,PSD,Sim
RIO GRANDE DO SUL,Darcísio Perondi,PMDB,Sim
RIO GRANDE DO SUL,Giovani Cherini,PR,Sim
RIO GRANDE DO SUL,Heitor Schuch,PSB,Não
RIO GRANDE DO SUL,Henrique Fontana,PT,Não
RIO GRANDE DO SUL,Jerônimo Goergen,PP,Sim
RIO GRANDE DO SUL,João Derly,REDE,Não
RIO GRANDE DO SUL,Jones Martins,PMDB,Sim
RIO GRANDE DO SUL,José Fogaça,PMDB,Sim
RIO GRANDE DO SUL,José Otávio Germano,PP,Sim
RIO GRANDE DO SUL,Jose Stédile,PSB,Não
RIO GRANDE DO SUL,Luis Carlos Heinze,PP,Sim
RIO GRANDE DO SUL,Luiz Carlos Busato,PTB,Sim
RIO GRANDE DO SUL,Marco Maia,PT,Não
RIO GRANDE DO SUL,Marcon,PT,Não
RIO GRANDE DO SUL,Maria do Rosário,PT,Não
RIO GRANDE DO SUL,Mauro Pereira,PMDB,Sim
RIO GRANDE DO SUL,Nelson Marchezan Junior,PSDB,Sim
RIO GRANDE DO SUL,Onyx Lorenzoni,DEM,Sim
RIO GRANDE DO SUL,Paulo Pimenta,PT,Não
RIO GRANDE DO SUL,Pepe Vargas,PT,Não
RIO GRANDE DO SUL,Pompeo de Mattos,PDT,Não
RIO GRANDE DO SUL,Sérgio Moraes,PTB,Sim
SANTA CATARINA,Angela Albino,PCdoB,Não
SANTA CATARINA,Carmen Zanotto,PPS,Não
SANTA CATARINA,Celso Maldaner,PMDB,Sim
SANTA CATARINA,Décio Lima,PT,Não
SANTA CATARINA,Edinho Bez,PMDB,Sim
SANTA CATARINA,Esperidião Amin,PP,Sim
SANTA CATARINA,Geovania de Sá,PSDB,Sim
SANTA CATARINA,João Rodrigues,PSD,Sim
SANTA CATARINA,Jorginho Mello,PR,Sim
SANTA CATARINA,Marco Tebaldi,PSDB,Sim
SANTA CATARINA,Mauro Mariani,PMDB,Sim
SANTA CATARINA,Pedro Uczai,PT,Não
SANTA CATARINA,Rogério Peninha Mendonça,PMDB,Sim
SANTA CATARINA,Ronaldo Benedet,PMDB,Sim
SANTA CATARINA,Valdir Colatto,PMDB,Sim
AMAPÁ,André Abdon,PP,Sim
AMAPÁ,Cabuçu Borges,PMDB,Sim
AMAPÁ,Janete Capiberibe,PSB,Não
AMAPÁ,Jozi Araújo,PTN,Sim
AMAPÁ,Marcos Reategui,PSD,Sim
AMAPÁ,Professora Marcivania,PCdoB,Não
AMAPÁ,Vinicius Gurgel,PR,Sim
PARÁ,Arnaldo Jordy,PPS,Não
PARÁ,Beto Faro,PT,Não
PARÁ,Beto Salame,PP,Sim
PARÁ,Delegado Éder Mauro,PSD,Sim
PARÁ,Elcione Barbalho,PMDB,Sim
PARÁ,Francisco Chapadinha,PTN,Sim
PARÁ,Hélio Leite,DEM,Sim
PARÁ,Joaquim Passarinho,PSD,Sim
PARÁ,José Priante,PMDB,Sim
PARÁ,Josué Bengtson,PTB,Sim
PARÁ,Lúcio Vale,PR,Sim
PARÁ,Nilson Pinto,PSDB,Sim
PARÁ,Simone Morgado,PMDB,Sim
PARÁ,Wladimir Costa,Solidaried,Sim
PARÁ,Zé Geraldo,PT,Não
PARANÁ,Alex Canziani,PTB,Sim
PARANÁ,Alfredo Kaefer,PSL,Sim
PARANÁ,Assis do Couto,PDT,Não
PARANÁ,Christiane de Souza Yared,PR,Sim
PARANÁ,Diego Garcia,PHS,Sim
PARANÁ,Dilceu Sperafico,PP,Sim
PARANÁ,Edmar Arruda,PSD,Sim
PARANÁ,Enio Verri,PT,Não
PARANÁ,Evandro Roman,PSD,Sim
PARANÁ,Fernando Francischini,Solidaried,Sim
PARANÁ,Giacobo,PR,Sim
PARANÁ,Hermes Parcianello,PMDB,Sim
PARANÁ,João Arruda,PMDB,Sim
