ESTADO,Deputado,Partido,Voto
RORAIMA,Abel Mesquita Jr.,DEM,Sim
RORAIMA,Carlos Andrade,PHS,Não
RORAIMA,Edio Lopes,PR,Sim
RORAIMA,Hiran Gonçalves,PP,Sim
RORAIMA,Maria Helena,PSB,Sim
RORAIMA,Remídio Monai,PR,Sim
RORAIMA,Shéridan,PSDB,Sim
AMAPÁ,André Abdon,PP,Sim
AMAPÁ,Cabuçu Borges,PMDB,Sim
AMAPÁ,Janete Capiberibe,PSB,Não
AMAPÁ,Jozi Araújo,PTN,Sim
AMAPÁ,Marcos Reategui,PSD,Sim
AMAPÁ,Professora Marcivania,PCdoB,Não
AMAPÁ,Vinicius Gurgel,PR,Sim
PARÁ,Arnaldo Jordy,PPS,Não
PARÁ,Beto Faro,PT,Não
PARÁ,Beto Salame,PP,Não
PARÁ,Delegado Éder Mauro,PSD,Sim
PARÁ,Edmilson Rodrigues,PSOL,Não
PARÁ,Elcione Barbalho,PMDB,Sim
PARÁ,Francisco Chapadinha,PTN,Sim
PARÁ,Hélio Leite,DEM,Sim
PARÁ,Joaquim Passarinho,PSD,Sim
PARÁ,José Priante,PMDB,Sim
PARÁ,Josué Bengtson,PTB,Sim
PARÁ,Júlia Marinho,PSC,Não
PARÁ,Lúcio Vale,PR,Sim
PARÁ,Nilson Pinto,PSDB,Sim
PARÁ,Simone Morgado,PMDB,Não
PARÁ,Wladimir Costa,Solidaried,Sim
PARÁ,Zé Geraldo,PT,Não
AMAZONAS,Alfredo Nascimento,PR,Sim
AMAZONAS,Arthur Virgílio Bisneto,PSDB,Sim
AMAZONAS,Átila Lins,PSD,Sim
AMAZONAS,Conceição Sampaio,PP,Não
AMAZONAS,Hissa Abrahão,PDT,Não
AMAZONAS,Pauderney Avelino,DEM,Sim
AMAZONAS,Sabino Castelo Branco,PTB,Não
AMAZONAS,Silas Câmara,PRB,Sim
RONDONIA,Expedito Netto,PSD,Não
RONDONIA,Lindomar Garçon,PRB,Sim
RONDONIA,Lucio Mosquini,PMDB,Sim
RONDONIA,Luiz Cláudio,PR,Sim
RONDONIA,Marcos Rogério,DEM,Sim
RONDONIA,Mariana Carvalho,PSDB,Sim
RONDONIA,Marinha Raupp,PMDB,Sim
RONDONIA,Nilton Capixaba,PTB,Sim
ACRE,Alan Rick,PRB,Sim
ACRE,Angelim,PT,Não
ACRE,Flaviano Melo,PMDB,Sim
ACRE,Jéssica Sales,PMDB,Sim
ACRE,Leo de Brito,PT,Não
TOCANTINS,Carlos Henrique Gaguim,PTN,Sim
TOCANTINS,César Halum,PRB,Sim
TOCANTINS,Irajá Abreu,PSD,Sim
TOCANTINS,Josi Nunes,PMDB,Sim
TOCANTINS,Lázaro Botelho,PP,Sim
TOCANTINS,Professora Dorinha Seabra Rezende,DEM,Sim
TOCANTINS,Vicentinho Júnior,PR,Sim
MARANHÃO,Alberto Filho,PMDB,Sim
MARANHÃO,Aluisio Mendes,PTN,Sim
MARANHÃO,André Fufuca,PP,Sim
MARANHÃO,Cleber Verde,PRB,Sim
MARANHÃO,Deoclides Macedo,PDT,Não
MARANHÃO,Eliziane Gama,PPS,Não
MARANHÃO,Hildo Rocha,PMDB,Sim
MARANHÃO,João Marcelo Souza,PMDB,Sim
MARANHÃO,José Reinaldo,PSB,Sim
MARANHÃO,Junior Marreca,PEN,Sim
MARANHÃO,Juscelino Filho,DEM,Sim
MARANHÃO,Luana Costa,PSB,Não
MARANHÃO,Pedro Fernandes,PTB,Sim
MARANHÃO,Rubens Pereira Júnior,PCdoB,Não
MARANHÃO,Victor Mendes,PSD,Sim
MARANHÃO,Waldir Maranhão,PP,Sim
MARANHÃO,Weverton Rocha,PDT,Não
MARANHÃO,Zé Carlos,PT,Não
CEARÁ,Adail Carneiro,PP,Sim
CEARÁ,André Figueiredo,PDT,Não
CEARÁ,Aníbal Gomes,PMDB,Sim
CEARÁ,Cabo Sabino,PR,Não
CEARÁ,Chico Lopes,PCdoB,Não
CEARÁ,Danilo Forte,PSB,Sim
CEARÁ,Domingos Neto,PSD,Sim
CEARÁ,Gorete Pereira,PR,Sim
CEARÁ,José Airton Cirilo,PT,Não
CEARÁ,José Guimarães,PT,Não
CEARÁ,Leônidas Cristino,PDT,Não
CEARÁ,Luizianne Lins,PT,Não
CEARÁ,Moses Rodrigues,PMDB,Sim
CEARÁ,Odorico Monteiro,PROS,Não
CEARÁ,Raimundo Gomes de Matos,PSDB,Sim
CEARÁ,Ronaldo Martins,PRB,Não
CEARÁ,Vaidon Oliveira,DEM,Sim
CEARÁ,Vitor Valim,PMDB,Não
PIAUÍ,Assis Carvalho,PT,Não
PIAUÍ,Átila Lira,PSB,Sim
PIAUÍ,Heráclito Fortes,PSB,Sim
PIAUÍ,Iracema Portella,PP,Sim
PIAUÍ,Júlio Cesar,PSD,Sim
PIAUÍ,Maia Filho,PP,Sim
PIAUÍ,Marcelo Castro,PMDB,Sim
PIAUÍ,Paes Landim,PTB,Sim
PIAUÍ,Rodrigo Martins,PSB,Sim
PIAUÍ,Silas Freire,PR,Sim
RIO GRANDE DO NORTE,Antônio Jácome,PTN,Não
RIO GRANDE DO NORTE,Beto Rosado,PP,Sim
RIO GRANDE DO NORTE,Fábio Faria,PSD,Sim
RIO GRANDE DO NORTE,Felipe Maia,DEM,Sim
RIO GRANDE DO NORTE,Rafael Motta,PSB,Não
RIO GRANDE DO NORTE,Rogério Marinho,PSDB,Sim
RIO GRANDE DO NORTE,Zenaide Maia,PR,Não
PARAÍBA,Aguinaldo Ribeiro,PP,Sim
PARAÍBA,André Amaral,PMDB,Sim
PARAÍBA,Benjamin Maranhão,Solidaried,Sim
PARAÍBA,Efraim Filho,DEM,Sim
PARAÍBA,Hugo Motta,PMDB,Sim
PARAÍBA,Luiz Couto,PT,Não
PARAÍBA,Pedro Cunha Lima,PSDB,Sim
PARAÍBA,Rômulo Gouveia,PSD,Sim
PARAÍBA,Veneziano Vital do Rêgo,PMDB,Não
PARAÍBA,Wilson Filho,PTB,Sim
PERNAMBUCO,Adalberto Cavalcanti,PTB,Sim
PERNAMBUCO,André de Paula,PSD,Sim
PERNAMBUCO,Augusto Coutinho,Solidaried,Sim
PERNAMBUCO,Betinho Gomes,PSDB,Sim
PERNAMBUCO,Bruno Araújo,PSDB,Sim
PERNAMBUCO,Carlos Eduardo Cadoca,PDT,Sim
PERNAMBUCO,Daniel Coelho,PSDB,Sim
PERNAMBUCO,Danilo Cabral,PSB,Não
PERNAMBUCO,Eduardo da Fonte,PP,Não
PERNAMBUCO,Fernando Coelho Filho,PSB,Sim
PERNAMBUCO,Fernando Monteiro,PP,Sim
PERNAMBUCO,Gonzaga Patriota,PSB,Não
PERNAMBUCO,Jarbas Vasconcelos,PMDB,Sim
PERNAMBUCO,João Fernando Coutinho,PSB,Sim
PERNAMBUCO,Jorge Côrte Real,PTB,Sim
PERNAMBUCO,Kaio Maniçoba,PMDB,Sim
PERNAMBUCO,Luciana Santos,PCdoB,Não
PERNAMBUCO,Marinaldo Rosendo,PSB,Sim
PERNAMBUCO,Mendonça Filho,DEM,Sim
PERNAMBUCO,Pastor Eurico,PHS,Não
PERNAMBUCO,Ricardo Teobaldo,PTN,Sim
PERNAMBUCO,Silvio Costa,PTdoB,Não
PERNAMBUCO,Tadeu Alencar,PSB,Não
PERNAMBUCO,Wolney Queiroz,PDT,Não
ALAGOAS,Arthur Lira,PP,Sim
ALAGOAS,Cícero Almeida,PMDB,Não
ALAGOAS,Givaldo Carimbão,PHS,Não
ALAGOAS,JHC,PSB,Não
ALAGOAS,Nivaldo Albuquerque,PRP,Sim
ALAGOAS,Paulão,PT,Não
ALAGOAS,Pedro Vilela,PSDB,Sim
ALAGOAS,Ronaldo Lessa,PDT,Não
ALAGOAS,Rosinha da Adefal,PTdoB,Não
SERGIPE,Adelson Barreto,PR,Não
SERGIPE,Andre Moura,PSC,Sim
SERGIPE,Fábio Mitidieri,PSD,Não
SERGIPE,João Daniel,PT,Não
SERGIPE,Jony Marcos,PRB,Não
SERGIPE,Laercio Oliveira,Solidaried,Sim
SERGIPE,Valadares Filho,PSB,Não
BAHIA,Afonso Florence,PT,Não
BAHIA,Alice Portugal,PCdoB,Não
BAHIA,Antonio Brito,PSD,Não
BAHIA,Arthur Oliveira Maia,PPS,Sim
BAHIA,Bacelar,PTN,Não
BAHIA,Bebeto,PSB,Não
BAHIA,Benito Gama,PTB,Sim
BAHIA,Cacá Leão,PP,Sim
BAHIA,Caetano,PT,Não
BAHIA,Claudio Cajado,DEM,Sim
BAHIA,Davidson Magalhães,PCdoB,Não
BAHIA,Elmar Nascimento,DEM,Sim
BAHIA,Erivelton Santana,PEN,Sim
BAHIA,Félix Mendonça Júnior,PDT,Não
BAHIA,Irmão Lazaro,PSC,Não
BAHIA,João Carlos Bacelar,PR,Sim
BAHIA,Jorge Solla,PT,Não
BAHIA,José Carlos Aleluia,DEM,Sim
BAHIA,José Carlos Araújo,PR,Sim
BAHIA,José Nunes,PSD,Não
BAHIA,José Rocha,PR,Sim
BAHIA,Jutahy Junior,PSDB,Sim
BAHIA,Lucio Vieira Lima,PMDB,Sim
BAHIA,Márcio Marinho,PRB,Sim
BAHIA,Mário Negromonte Jr.,PP,Sim
BAHIA,Nelson Pellegrino,PT,Não
BAHIA,Pastor Luciano Braga,PRB,Sim
BAHIA,Paulo Azi,DEM,Sim
BAHIA,Paulo Magalhães,PSD,Sim
BAHIA,Roberto Britto,PP,Sim
BAHIA,Robinson Almeida,PT,Não
BAHIA,Ronaldo Carletto,PP,Sim
BAHIA,Uldurico Junior,PV,Não
BAHIA,Valmir Assunção,PT,Não
BAHIA,Waldenor Pereira,PT,Não
MINAS GERAIS,Adelmo Carneiro Leão,PT,Não
MINAS GERAIS,Ademir Camilo,PTN,Não
MINAS GERAIS,Aelton Freitas,PR,Sim
MINAS GERAIS,Bilac Pinto,PR,Sim
MINAS GERAIS,Brunny,PR,Sim
MINAS GERAIS,Caio Narcio,PSDB,Sim
MINAS GERAIS,Carlos Melles,DEM,Sim
MINAS GERAIS,Dâmina Pereira,PSL,Não
MINAS GERAIS,Delegado Edson Moreira,PR,Sim
MINAS GERAIS,Dimas Fabiano,PP,Não
MINAS GERAIS,Domingos Sávio,PSDB,Sim
MINAS GERAIS,Eduardo Barbosa,PSDB,Sim
MINAS GERAIS,Eros Biondini,PROS,Não
MINAS GERAIS,Fábio Ramalho,PMDB,Sim
MINAS GERAIS,Franklin Lima,PP,Sim
MINAS GERAIS,Jaime Martins,PSD,Sim
MINAS GERAIS,Jô Moraes,PCdoB,Não
MINAS GERAIS,Júlio Delgado,PSB,Não
MINAS GERAIS,Laudivio Carvalho,Solidaried,Não
MINAS GERAIS,Leonardo Monteiro,PT,Não
MINAS GERAIS,Leonardo Quintão,PMDB,Sim
MINAS GERAIS,Lincoln Portela,PRB,Não
MINAS GERAIS,Luis Tibé,PTdoB,Sim
MINAS GERAIS,Luiz Fernando Faria,PP,Sim
MINAS GERAIS,Luzia Ferreira,PPS,Sim
MINAS GERAIS,Marcelo Álvaro Antônio,PR,Não
MINAS GERAIS,Marcelo Aro,PHS,Sim
MINAS GERAIS,Marcos Montes,PSD,Sim
MINAS GERAIS,Marcus Pestana,PSDB,Sim
MINAS GERAIS,Margarida Salomão,PT,Não
MINAS GERAIS,Mauro Lopes,PMDB,Sim
MINAS GERAIS,Misael Varella,DEM,Sim
MINAS GERAIS,Newton Cardoso Jr,PMDB,Sim
MINAS GERAIS,Padre João,PT,Não
MINAS GERAIS,Patrus Ananias,PT,Não
MINAS GERAIS,Paulo Abi-Ackel,PSDB,Sim
MINAS GERAIS,Raquel Muniz,PSD,Sim
MINAS GERAIS,Reginaldo Lopes,PT,Não
