ESTADO,Deputado,Partido,Voto
ACRE,Alan Rick,PRB,Não
ACRE,Angelim,PT,Não
ACRE,César Messias,PSB,Não
ACRE,Flaviano Melo,PMDB,Não
ACRE,Jéssica Sales,PMDB,Não
ACRE,Leo de Brito,PT,Não
ACRE,Rocha,PSDB,Não
ACRE,Sibá Machado,PT,Não
ALAGOAS,Cícero Almeida,PRTB,Não
ALAGOAS,JHC,Solidaried,Sim
ALAGOAS,Marx Beltrão,PMDB,Sim
ALAGOAS,Maurício Quintella Lessa,PR,Não
ALAGOAS,Paulão,PT,Não
ALAGOAS,Pedro Vilela,PSDB,Sim
ALAGOAS,Ronaldo Lessa,PDT,Sim
AMAPÁ,André Abdon,PRB,Não
AMAPÁ,Cabuçu Borges,PMDB,Sim
AMAPÁ,Janete Capiberibe,PSB,Não
AMAPÁ,Jozi Rocha,PTB,Não
AMAPÁ,Marcos Reategui,PSC,Sim
AMAPÁ,Professora Marcivania,PT,Não
AMAPÁ,Roberto Góes,PDT,Não
AMAPÁ,Vinicius Gurgel,PR,Não
AMAZONAS,Arthur Virgílio Bisneto,PSDB,Não
AMAZONAS,Conceição Sampaio,PP,Sim
AMAZONAS,Hissa Abrahão,PPS,Sim
AMAZONAS,Marcos Rotta,PMDB,Sim
AMAZONAS,Pauderney Avelino,DEM,Sim
AMAZONAS,Silas Câmara,PSD,Não
BAHIA,Afonso Florence,PT,Não
BAHIA,Alice Portugal,PCdoB,Não
BAHIA,Antonio Brito,PTB,Não
BAHIA,Antonio Imbassahy,PSDB,Sim
BAHIA,Bacelar,PTN,Não
BAHIA,Bebeto,PSB,Não
BAHIA,Benito Gama,PTB,Não
BAHIA,Cacá Leão,PP,Não
BAHIA,Caetano,PT,Não
BAHIA,Claudio Cajado,DEM,Sim
BAHIA,Daniel Almeida,PCdoB,Não
BAHIA,Davidson Magalhães,PCdoB,Não
BAHIA,Elmar Nascimento,DEM,Sim
BAHIA,Erivelton Santana,PSC,Não
BAHIA,Félix Mendonça Júnior,PDT,Não
BAHIA,Irmão Lazaro,PSC,Sim
BAHIA,João Carlos Bacelar,PR,Não
BAHIA,João Gualberto,PSDB,Não
BAHIA,Jorge Solla,PT,Não
BAHIA,José Carlos Aleluia,DEM,Sim
BAHIA,José Carlos Araújo,PSD,Não
BAHIA,José Nunes,PSD,Sim
BAHIA,Jutahy Junior,PSDB,Não
BAHIA,Márcio Marinho,PRB,Não
BAHIA,Mário Negromonte Jr.,PP,Não
BAHIA,Moema Gramacho,PT,Não
BAHIA,Paulo Azi,DEM,Sim
BAHIA,Paulo Magalhães,PSD,Não
BAHIA,Roberto Britto,PP,Não
BAHIA,Ronaldo Carletto,PP,Não
BAHIA,Sérgio Brito,PSD,Sim
BAHIA,Tia Eron,PRB,Não
BAHIA,Uldurico Junior,PTC,Não
BAHIA,Valmir Assunção,PT,Não
BAHIA,Waldenor Pereira,PT,Não
CEARÁ,Adail Carneiro,PHS,Não
CEARÁ,Cabo Sabino,PR,Sim
CEARÁ,Chico Lopes,PCdoB,Não
CEARÁ,Danilo Forte,PMDB,Não
CEARÁ,Genecias Noronha,Solidaried,Não
CEARÁ,José Airton Cirilo,PT,Não
CEARÁ,José Guimarães,PT,Não
CEARÁ,Leônidas Cristino,PROS,Não
CEARÁ,Luizianne Lins,PT,Não
CEARÁ,Macedo,PSL,Não
CEARÁ,Moroni Torgan,DEM,Sim
CEARÁ,Moses Rodrigues,PPS,Sim
CEARÁ,Odorico Monteiro,PT,Não
CEARÁ,Raimundo Gomes de Matos,PSDB,Não
CEARÁ,Ronaldo Martins,PRB,Não
CEARÁ,Vitor Valim,PMDB,Sim
DISTRITO FEDERAL,Alberto Fraga,DEM,Não
DISTRITO FEDERAL,Augusto Carvalho,Solidaried,Sim
DISTRITO FEDERAL,Erika Kokay,PT,Não
DISTRITO FEDERAL,Izalci,PSDB,Não
DISTRITO FEDERAL,Rogério Rosso,PSD,Sim
DISTRITO FEDERAL,Ronaldo Fonseca,PROS,Sim
DISTRITO FEDERAL,Roney Nemer,PMDB,Sim
ESPÍRITO SANTO,Carlos Manato,Solidaried,Não
ESPÍRITO SANTO,Dr. Jorge Silva,PROS,Não
ESPÍRITO SANTO,Evair de Melo,PV,Sim
ESPÍRITO SANTO,Givaldo Vieira,PT,Não
ESPÍRITO SANTO,Helder Salomão,PT,Não
ESPÍRITO SANTO,Lelo Coimbra,PMDB,Sim
ESPÍRITO SANTO,Marcus Vicente,PP,Não
ESPÍRITO SANTO,Max Filho,PSDB,Sim
ESPÍRITO SANTO,Paulo Foletto,PSB,Não
ESPÍRITO SANTO,Sergio Vidigal,PDT,Abstenção
GOIÁS,Alexandre Baldy,PSDB,Sim
GOIÁS,Célio Silveira,PSDB,Não
